product_id,Name,product_price,color,details
UB021,Adidas UltraBoost 21,$180.00,Core Black,High-performance running shoes with responsive Boost cushioning.
SS002,Adidas Superstar,$90.00,White/Black,"Classic shell-toe design, leather upper, and iconic 3-stripes."
NMD001,Adidas NMD_R1,$140.00,Grey/Red,Modern streetwear sneaker with flexible knit upper and EVA plugs.
ST001,Adidas Stan Smith,$100.00,White/Green,Timeless tennis shoe with perforated 3-stripes and green accents.
FL011,Adidas Forum Low,$130.00,White/Blue,Retro basketball shoes with adjustable strap and durable construction.
ADL009,Adidas Adilette Slides,$45.00,Navy Blue,Classic slip-on slides with contoured footbed for comfort.
TRX010,Adidas Terrex Trail,$120.00,Black/Orange,Durable trail running shoes with grippy outsole for rugged terrain.
PM008,Adidas Pro Model High Top,$110.00,White/Gold,High-top basketball shoes with shell toe and ankle support.
GCK003,Adidas Grand Court Kids,$60.00,White/Pink,Comfortable kids' sneakers with classic 3-stripes and cushioned insole.
TR360,Adidas Tour360,$200.00,White/Black,Premium golf shoes with waterproof leather and 360Wrap support.
